timestamp_ms,roll,pitch,setpoint,P,I,D,motor_output
11177.0,-0.42,-0.41,0.0,9.78,0.0,21.97,31.75
11277.0,-0.41,-0.07,0.0,1.6,0.0,18.85,20.46
11377.0,-0.36,0.17,0.0,-4.06,0.0,-0.11,-4.16
11477.0,-0.36,-0.06,0.0,1.48,0.0,-6.72,-5.24
11577.0,-0.23,-0.14,0.0,3.34,0.0,-28.54,-25.21
11677.0,-0.3,-0.29,0.0,6.86,0.0,-25.03,-18.17
11777.0,-0.53,-0.33,0.0,8.03,0.0,-15.59,-7.55
11877.0,-0.4,0.07,0.0,-1.6,0.0,-9.45,-11.05
11977.0,-0.47,0.03,0.0,-0.62,0.0,-16.01,-16.63
12077.0,-0.6,-0.05,0.0,1.22,0.0,-19.05,-17.83
12177.0,-0.41,-0.34,0.0,8.04,0.0,-22.24,-14.2
12277.0,-0.44,-0.24,0.0,5.64,0.0,-1.41,4.24
12377.0,-0.48,-0.39,0.0,9.47,0.0,11.32,20.8
12477.0,-0.51,-0.3,0.0,7.13,0.0,18.98,26.11
12577.0,-0.46,-0.23,0.0,5.41,0.0,32.99,38.41
12677.0,-0.41,-0.18,0.0,4.42,0.0,32.83,37.25
12777.0,-0.39,-0.15,0.0,3.68,0.0,34.94,38.62
12877.0,-0.26,0.07,0.0,-1.6,0.0,20.1,18.5
12977.0,-0.3,0.17,0.0,-4.12,0.0,-3.24,-7.36
13077.0,-0.22,0.31,0.0,-7.53,0.0,-3.17,-10.7
13177.0,-0.27,0.35,0.0,-8.38,0.0,-24.37,-32.74
13277.0,-0.32,0.1,0.0,-2.52,0.0,-22.88,-25.4
13377.0,-0.17,-0.04,0.0,0.99,0.0,-35.45,-34.46
13477.0,-0.19,-0.24,0.0,5.65,0.0,-22.86,-17.21
13577.0,-0.28,0.03,0.0,-0.77,0.0,-11.87,-12.64
13677.0,-0.24,0.09,0.0,-2.07,0.0,-14.68,-16.74
13777.0,-0.2,0.53,0.0,-12.69,0.0,-29.5,-42.18
13877.0,-0.16,0.47,0.0,-11.23,0.0,-28.01,-39.24
13977.0,-0.29,-0.03,0.0,0.63,0.0,-23.78,-23.14
14077.0,-0.15,-0.18,0.0,4.22,0.0,-31.09,-26.87
14177.0,-0.17,-0.41,0.0,9.83,0.0,-33.29,-23.46
14277.0,-0.18,-0.31,0.0,7.33,0.0,-36.9,-29.56
14377.0,-0.43,-0.37,0.0,8.9,0.0,-22.06,-13.15
14477.0,-0.19,-0.36,0.0,8.64,0.0,-8.32,0.33
14577.0,0.02,-0.2,0.0,4.87,0.0,-10.66,-5.79
14677.0,-0.07,-0.28,0.0,6.76,0.0,-16.29,-9.52
14777.0,-0.32,-0.71,0.0,16.97,0.0,-9.56,7.41
14877.0,-0.29,-0.47,0.0,11.38,0.0,-5.5,5.88
14977.0,-0.39,-0.65,0.0,15.62,0.0,-3.24,12.38
15077.0,-0.31,-0.68,0.0,16.27,0.0,8.56,24.83
15177.0,-0.3,-0.48,0.0,11.5,0.0,23.03,34.53
15277.0,-0.31,-0.29,0.0,6.87,0.0,26.27,33.14
15377.0,-0.31,-0.1,0.0,2.3,0.0,29.5,31.8
15477.0,-0.38,-0.08,0.0,1.93,0.0,36.38,38.32
15577.0,-0.28,0.1,0.0,-2.44,0.0,23.05,20.61
15677.0,-0.33,0.28,0.0,-6.7,0.0,15.17,8.47
15777.0,-0.42,0.27,0.0,-6.58,0.0,19.6,13.02
15877.0,-0.42,0.13,0.0,-3.15,0.0,6.8,3.65
15977.0,-0.36,0.45,0.0,-10.71,0.0,16.85,6.15
16077.0,-0.32,0.52,0.0,-12.39,0.0,25.26,12.87
16177.0,-0.3,0.41,0.0,-9.9,0.0,21.32,11.43
16277.0,-0.21,0.52,0.0,-12.38,0.0,25.78,13.4
16377.0,-0.3,0.18,0.0,-4.34,0.0,36.18,31.85
16477.0,-0.23,-0.24,0.0,5.65,0.0,41.35,47.0
16577.0,-0.14,-0.49,0.0,11.64,0.0,25.03,36.67
16677.0,-0.05,-0.55,0.0,13.14,0.0,23.38,36.52
16777.0,-0.17,-0.92,0.0,22.03,0.0,35.63,57.66
16877.0,-0.12,-0.64,0.0,15.45,0.0,20.02,35.48
16977.0,-0.11,-0.46,0.0,11.14,0.0,28.76,39.9
17077.0,-0.2,-0.21,0.0,5.0,0.0,27.3,32.3
17177.0,-0.23,0.27,0.0,-6.46,0.0,30.5,24.05
17277.0,-0.14,0.52,0.0,-12.49,0.0,30.5,18.01
17377.0,-0.17,0.48,0.0,-11.49,0.0,39.7,28.21
17477.0,-0.11,0.24,0.0,-5.68,0.0,23.8,18.13
17577.0,-0.31,-0.07,0.0,1.57,0.0,19.66,21.23
17677.0,-0.09,-0.41,0.0,9.91,0.0,14.82,24.74
17777.0,-0.1,-0.48,0.0,11.52,0.0,25.94,37.46
17877.0,-0.13,-0.75,0.0,17.96,0.0,31.84,49.81
17977.0,-0.14,-0.56,0.0,13.45,0.0,15.3,28.75
18077.0,-0.14,-0.62,0.0,14.94,0.0,17.57,32.51
18177.0,-0.19,-0.46,0.0,10.93,0.0,22.7,33.63
18277.0,-0.18,0.15,0.0,-3.61,0.0,27.66,24.06
18377.0,-0.18,0.21,0.0,-5.01,0.0,32.63,27.62
18477.0,-0.19,0.07,0.0,-1.69,0.0,26.47,24.78
18577.0,-0.09,-0.1,0.0,2.3,0.0,31.95,34.26
18677.0,0.1,-0.18,0.0,4.41,0.0,23.69,28.1
18777.0,-0.07,-0.94,0.0,22.51,0.0,29.46,51.97
18877.0,-0.06,-1.05,0.0,25.11,0.0,7.4,32.51
18977.0,0.09,-1.06,0.0,25.52,0.0,-9.33,16.19
